Day,Hour,Irradiance,Month,omega,delta,alpha_s,gamma_s,theta_i,IncidentFlux,ZoneFluxes_Zone1,ZoneFluxes_Zone2,ZoneFluxes_Zone3,ZoneFluxes_Zone4,ZoneFluxes_Zone5
1,0,0,1,-180,-23.0116367278692,-69.9635367278693,-1.88500199985462e-14,129.963536727869,0,0,0,0,0,0
1,1,0,1,-165,-23.0116367278692,-66.4276002883083,-36.5623194824892,129.283320429727,0,0,0,0,0,0
1,2,0,1,-150,-23.0116367278692,-58.1420754666886,-60.682640426979,127.32572967356,0,0,0,0,0,0
1,3,0,1,-135,-23.0116367278692,-47.9419228924393,-76.3051765664373,124.311857045822,0,0,0,0,0,0
1,4,0,1,-120,-23.0116367278692,-37.0965589952534,-87.9543734845871,120.538438601456,0,0,0,0,0,0
1,5,0,1,-105,-23.0116367278692,-26.1635335287272,-82.1193818429748,108.682888180506,0,0,0,0,0,0
1,6,80.4199410661132,1,-90,-23.0116367278692,-15.4766359523838,-72.7570542333914,95.0633511437906,0,0,0,0,0,0
1,7,156.166167472056,1,-75,-23.0116367278692,-5.32218438901445,-63.2415064153564,81.731292141061,22.35285626233926,4.596604984814851,4.341572434369988,4.198090859150159,4.4269468549262205,4.78964112907804
1,8,222.836583865445,1,-60,-23.0116367278692,3.98350477257233,-53.0387418651351,68.89530351693,88.33516332399041,17.253737127174496,17.518516756264354,17.697447198566866,18.77784345922583,17.087618782758863
1,9,276.5565479826,1,-45,-23.0116367278692,12.0505959417271,-41.721033590093,56.9221659927338,150.46513487033914,28.838356256963163,31.19017304115195,29.478497991635738,30.799129634245155,30.15897794634313
1,10,314.204050773157,1,-30,-23.0116367278692,18.4011879237299,-29.0132351908481,46.5063683654461,230.36791737641113,49.17232553138642,46.38015336827411,43.57719766146144,44.333265751623955,46.90497506366519
1,11,333.591156218033,1,-15,-23.0116367278692,22.5112400319048,-14.9438536278433,38.9357889316145,289.15154040465313,59.269833447450594,53.699300976306816,59.067630043655605,61.470537492219535,55.6442384450206
1,12,333.591156218033,1,0,-23.0116367278692,23.9402632721308,0,36.0597367278692,250.94919128667726,52.83024597398586,48.212024803080126,51.54719143134048,52.14647387144087,46.21325520682992
1,13,314.204050773157,1,15,-23.0116367278692,22.5112400319048,14.9438536278433,38.9357889316145,240.99700381579214,48.527069454267206,48.87531330685328,46.064625224373394,48.560615421415406,48.96938040888284
1,14,276.5565479826,1,30,-23.0116367278692,18.4011879237299,29.0132351908481,46.5063683654461,189.07780320621598,36.37821806255267,39.347571813162844,36.88994053298125,36.10267952869311,40.359393268826096
1,15,222.836583865445,1,45,-23.0116367278692,12.0505959417271,41.721033590093,56.9221659927338,125.48645878183218,24.918148749469694,26.98405697693658,23.451885506956973,25.271788693629,24.86057885483994
1,16,156.166167472056,1,60,-23.0116367278692,3.98350477257233,53.0387418651351,68.89530351693,55.43206913213076,10.236051075524651,11.541084456063924,11.383695968823579,11.304576858660253,10.966660773058354
1,17,80.4199410661133,1,75,-23.0116367278692,-5.32218438901445,63.2415064153564,81.731292141061,10.02947184533315,2.1342203108940354,1.9835075415011052,1.9300953278930677,2.038249368394525,1.9433992966504179
1,18,4.11531872380469e-14,1,90,-23.0116367278692,-15.4766359523838,72.7570542333914,95.0633511437906,0,0,0,0,0,0
1,19,0,1,105,-23.0116367278692,-26.1635335287272,82.1193818429748,108.682888180506,0,0,0,0,0,0
1,20,0,1,120,-23.0116367278692,-37.0965589952534,87.9543734845871,120.538438601456,0,0,0,0,0,0
1,21,0,1,135,-23.0116367278692,-47.9419228924393,76.3051765664373,124.311857045822,0,0,0,0,0,0
1,22,0,1,150,-23.0116367278692,-58.1420754666886,60.682640426979,127.32572967356,0,0,0,0,0,0
1,23,0,1,165,-23.0116367278692,-66.4276002883083,36.5623194824892,129.283320429727,0,0,0,0,0,0
2,0,0,1,-180,-22.9305436083077,-69.8824436083077,-1.87884343481616e-14,129.882443608308,0,0,0,0,0,0
2,1,0,1,-165,-22.9305436083077,-66.3561210854394,-36.4666863022149,129.202613191451,0,0,0,0,0,0
2,2,0,1,-150,-22.9305436083077,-58.0835113885423,-60.57645504223,127.24600950096401,0,0,0,0,0,0
