Day,Hour,Irradiance,Month,omega,delta,alpha_s,gamma_s,theta_i,IncidentFlux,ZoneFluxes_Zone1,ZoneFluxes_Zone2,ZoneFluxes_Zone3,ZoneFluxes_Zone4,ZoneFluxes_Zone5
1,0,0,1,-180,-23.0116367278692,-69.9635367278693,-1.88500199985462e-14,129.963536727869,0,0,0,0,0,0
1,1,0,1,-165,-23.0116367278692,-66.4276002883083,-36.5623194824892,129.283320429727,0,0,0,0,0,0
1,2,0,1,-150,-23.0116367278692,-58.1420754666886,-60.682640426979,127.32572967356,0,0,0,0,0,0
1,3,0,1,-135,-23.0116367278692,-47.9419228924393,-76.3051765664373,124.311857045822,0,0,0,0,0,0
1,4,0,1,-120,-23.0116367278692,-37.0965589952534,-87.9543734845871,120.538438601456,0,0,0,0,0,0
1,5,0,1,-105,-23.0116367278692,-26.1635335287272,-82.1193818429748,108.682888180506,0,0,0,0,0,0
1,6,80.4199410661132,1,-90,-23.0116367278692,-15.4766359523838,-72.7570542333914,95.0633511437906,0,0,0,0,0,0
1,7,156.166167472056,1,-75,-23.0116367278692,-5.32218438901445,-63.2415064153564,81.731292141061,23.01350083820661,23.47311834277216,22.561024533616912,23.005205172783537,20.738998115437035,18.433793623992287
1,8,222.836583865445,1,-60,-23.0116367278692,3.98350477257233,-53.0387418651351,68.89530351693,78.76470167648498,80.35816191383958,77.17113212274842,78.75659210992082,70.8906594925789,62.917116991603
1,9,276.5565479826,1,-45,-23.0116367278692,12.0505959417271,-41.721033590093,56.9221659927338,141.09060904982096,143.9044988154329,138.2840113365626,141.08704726587365,126.95550344062855,112.99163086961201
1,10,314.204050773157,1,-30,-23.0116367278692,18.4011879237299,-29.0132351908481,46.5063683654461,208.12823981038574,212.3183618891809,203.89509368679737,208.06626503980945,187.31859357556723,166.36490594974813
1,11,333.591156218033,1,-15,-23.0116367278692,22.5112400319048,-14.9438536278433,38.9357889316145,271.538787185271,276.91527993054194,266.2350157368395,271.4963122818595,244.19744187674982,217.23376952905852
1,12,333.591156218033,1,0,-23.0116367278692,23.9402632721308,0,36.0597367278692,279.8730552659723,285.5710160702872,274.278490332271,279.81913777992185,252.06458332531872,223.5792105870252
1,13,314.204050773157,1,15,-23.0116367278692,22.5112400319048,14.9438536278433,38.9357889316145,213.49688352259454,217.68805894760666,209.2402426697532,213.53780430449922,191.97514070186216,170.78855138921026
1,14,276.5565479826,1,30,-23.0116367278692,18.4011879237299,29.0132351908481,46.5063683654461,161.16720732639837,164.3809575934689,157.98150375991173,161.1067525162878,145.07551125237757,128.82593139677758
1,15,222.836583865445,1,45,-23.0116367278692,12.0505959417271,41.721033590093,56.9221659927338,121.62089730481675,124.04740133475703,119.2521548883184,121.59809756362257,109.4467517232351,97.29345237271048
1,16,156.166167472056,1,60,-23.0116367278692,3.98350477257233,53.0387418651351,68.89530351693,55.11434959818436,56.204857598891806,54.034236060560474,55.128407598507884,49.55018226799063,44.051895146817564
1,17,80.4199410661133,1,75,-23.0116367278692,-5.32218438901445,63.2415064153564,81.731292141061,10.548240623050917,10.75936054183304,10.340584807540147,10.55154093776262,9.48482165760021,8.435343669788123
1,18,4.11531872380469e-14,1,90,-23.0116367278692,-15.4766359523838,72.7570542333914,95.0633511437906,0,0,0,0,0,0
1,19,0,1,105,-23.0116367278692,-26.1635335287272,82.1193818429748,108.682888180506,0,0,0,0,0,0
1,20,0,1,120,-23.0116367278692,-37.0965589952534,87.9543734845871,120.538438601456,0,0,0,0,0,0
1,21,0,1,135,-23.0116367278692,-47.9419228924393,76.3051765664373,124.311857045822,0,0,0,0,0,0
1,22,0,1,150,-23.0116367278692,-58.1420754666886,60.682640426979,127.32572967356,0,0,0,0,0,0
1,23,0,1,165,-23.0116367278692,-66.4276002883083,36.5623194824892,129.283320429727,0,0,0,0,0,0
2,0,0,1,-180,-22.9305436083077,-69.8824436083077,-1.87884343481616e-14,129.882443608308,0,0,0,0,0,0
2,1,0,1,-165,-22.9305436083077,-66.3561210854394,-36.4666863022149,129.202613191451,0,0,0,0,0,0
2,2,0,1,-150,-22.9305436083077,-58.0835113885423,-60.57645504223,127.24600950096401,0,0,0,0,0,0
